date,personal_tax,corporate_tax,revenue_ratio
2035-09-30,0.251,0.199,0.234
2035-12-31,0.224,0.234,0.215
2036-03-31,0.227,0.181,0.267
2036-06-30,0.247,0.207,0.223
2036-09-30,0.255,0.213,0.226
2036-12-31,0.253,0.239,0.19
2037-03-31,0.254,0.176,0.232
2037-06-30,0.242,0.219,0.24
2037-09-30,0.251,0.215,0.217
2037-12-31,0.288,0.22,0.242
2038-03-31,0.316,0.169,0.189
2038-06-30,0.284,0.232,0.214
2038-09-30,0.244,0.191,0.232
2038-12-31,0.262,0.213,0.211
2039-03-31,0.279,0.191,0.257
2039-06-30,0.28,0.275,0.24
2039-09-30,0.287,0.218,0.202
2039-12-31,0.287,0.281,0.192
2040-03-31,0.262,0.198,0.22
2040-06-30,0.242,0.208,0.198
2040-09-30,0.204,0.261,0.208
2040-12-31,0.282,0.206,0.186
2041-03-31,0.269,0.23,0.244
2041-06-30,0.225,0.251,0.225
2041-09-30,0.251,0.206,0.229
2041-12-31,0.238,0.196,0.245
2042-03-31,0.237,0.209,0.151
2042-06-30,0.302,0.247,0.221
2042-09-30,0.24,0.23,0.213
2042-12-31,0.323,0.255,0.241
2043-03-31,0.246,0.209,0.235
2043-06-30,0.229,0.203,0.236
2043-09-30,0.254,0.183,0.259
2043-12-31,0.322,0.208,0.164
2044-03-31,0.246,0.199,0.188
2044-06-30,0.265,0.213,0.257
2044-09-30,0.182,0.189,0.264
2044-12-31,0.268,0.195,0.196
2045-03-31,0.209,0.207,0.254
2045-06-30,0.247,0.246,0.246
2045-09-30,0.291,0.207,0.179
2045-12-31,0.243,0.2,0.202
2046-03-31,0.271,0.248,0.23
2046-06-30,0.243,0.257,0.218
2046-09-30,0.24,0.208,0.274
2046-12-31,0.258,0.209,0.238
2047-03-31,0.282,0.163,0.247
2047-06-30,0.253,0.17,0.2
2047-09-30,0.249,0.215,0.183
2047-12-31,0.221,0.258,0.202
2048-03-31,0.199,0.272,0.263
2048-06-30,0.254,0.242,0.276
2048-09-30,0.244,0.202,0.196
2048-12-31,0.258,0.232,0.216
2049-03-31,0.281,0.173,0.145
2049-06-30,0.274,0.215,0.259
2049-09-30,0.224,0.182,0.182
2049-12-31,0.258,0.217,0.247
2050-03-31,0.258,0.26,0.259
2050-06-30,0.243,0.282,0.18
2050-09-30,0.182,0.223,0.194
2050-12-31,0.226,0.229,0.242
2051-03-31,0.247,0.167,0.261
2051-06-30,0.272,0.197,0.204
2051-09-30,0.24,0.263,0.189
2051-12-31,0.208,0.252,0.23
2052-03-31,0.29,0.242,0.258
2052-06-30,0.249,0.23,0.187
2052-09-30,0.236,0.266,0.196
2052-12-31,0.265,0.209,0.255
2053-03-31,0.27,0.211,0.226
2053-06-30,0.247,0.301,0.195
2053-09-30,0.232,0.191,0.22
2053-12-31,0.232,0.231,0.234
2054-03-31,0.273,0.206,0.251
2054-06-30,0.245,0.262,0.229
2054-09-30,0.264,0.209,0.22
2054-12-31,0.192,0.207,0.169
2055-03-31,0.235,0.208,0.236
2055-06-30,0.238,0.241,0.235
2055-09-30,0.235,0.187,0.226
2055-12-31,0.191,0.173,0.221
2056-03-31,0.236,0.214,0.224
2056-06-30,0.296,0.206,0.249
2056-09-30,0.258,0.233,0.209
2056-12-31,0.233,0.207,0.184
2057-03-31,0.228,0.199,0.247
2057-06-30,0.209,0.226,0.209
2057-09-30,0.256,0.23,0.211
2057-12-31,0.226,0.248,0.233
2058-03-31,0.237,0.219,0.212
2058-06-30,0.276,0.163,0.218
2058-09-30,0.277,0.216,0.186
2058-12-31,0.268,0.217,0.259
2059-03-31,0.199,0.214,0.18
2059-06-30,0.232,0.233,0.259
2059-09-30,0.284,0.209,0.182
2059-12-31,0.213,0.251,0.198
